qid,video,question,type_code,relation_from_type,relation_from_lexical,relation_final,relation_disagreement,extraction_status,anchor_clause,target_entity,query_roles,query_texts,seed_texts,fallback_reason,n_text_embeddings,n_seed_queries,subject_prepended,head_form,v2_fallback_reason,v2_texts
1,4882821564,why did the boy pick up one present from the group of them and move to the sofa,CW,CAUSE,,CAUSE,0,head_event,the boy pick up one present from the group of them and move to the sofa,,"[""original"", ""anchor_primary""]","[""why did the boy pick up one present from the group of them and move to the sofa"", ""a video frame showing the boy pick up one present from the group of them and move to the sofa""]","[""why did the boy pick up one present from the group of them and move to the sofa"", ""a video frame showing the boy pick up one present from the group of them and move to the sofa""]",,2,2,0,why_head,,"[""a video frame showing the boy pick up one present from the group of them and move to the sofa""]"
7,2435100235,how does the man cycling try to sell the watch to the man in the trishaw,CH,MANNER,,MANNER,0,head_event,the man cycling try to sell the watch to the man in the trishaw,,"[""original"", ""anchor_primary""]","[""how does the man cycling try to sell the watch to the man in the trishaw"", ""a video frame showing the man cycling try to sell the watch to the man in the trishaw""]","[""how does the man cycling try to sell the watch to the man in the trishaw"", ""a video frame showing the man cycling try to sell the watch to the man in the trishaw""]",,2,2,0,how_head,,"[""a video frame showing the man cycling try to sell the watch to the man in the trishaw""]"
8,2834146886,what does the white dog do after going to the cushion,TN,AFTER,AFTER,AFTER,0,clause_extracted,the white dog going to the cushion,the white dog,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the white dog do after going to the cushion"", ""a video frame showing the white dog going to the cushion"", ""a video frame showing the white dog""]","[""what does the white dog do after going to the cushion"", ""a video frame showing the white dog going to the cushion""]",,3,2,1,what_do,,"[""a video frame showing white dog going to the cushion"", ""a video frame showing white dog""]"
2,8132842161,why did the man in white hold tightly to the boy in white,CW,CAUSE,,CAUSE,0,head_event,the man in white hold tightly to the boy in white,,"[""original"", ""anchor_primary""]","[""why did the man in white hold tightly to the boy in white"", ""a video frame showing the man in white hold tightly to the boy in white""]","[""why did the man in white hold tightly to the boy in white"", ""a video frame showing the man in white hold tightly to the boy in white""]",,2,2,0,why_head,,"[""a video frame showing the man in white hold tightly to the boy in white""]"
4,4260763967,why is the boy in yellow reaching out to things on the green mat,CW,CAUSE,,CAUSE,0,head_event,the boy in yellow reaching out to things on the green mat,,"[""original"", ""anchor_primary""]","[""why is the boy in yellow reaching out to things on the green mat"", ""a video frame showing the boy in yellow reaching out to things on the green mat""]","[""why is the boy in yellow reaching out to things on the green mat"", ""a video frame showing the boy in yellow reaching out to things on the green mat""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the boy in yellow reaching out to things on the green mat"", ""why is the boy in yellow reaching out to things on the green mat""]"
2,3462517143,why is the white dog walking around the green container,CW,CAUSE,,CAUSE,0,head_event,the white dog walking around the green container,,"[""original"", ""anchor_primary""]","[""why is the white dog walking around the green container"", ""a video frame showing the white dog walking around the green container""]","[""why is the white dog walking around the green container"", ""a video frame showing the white dog walking around the green container""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the white dog walking around the green container"", ""why is the white dog walking around the green container""]"
10,3441428429,what does the female skater do after the male skater puts her back down on the ice,TN,AFTER,AFTER,AFTER,0,clause_extracted,the male skater puts her back down on the ice,the female skater,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the female skater do after the male skater puts her back down on the ice"", ""a video frame showing the male skater puts her back down on the ice"", ""a video frame showing the female skater""]","[""what does the female skater do after the male skater puts her back down on the ice"", ""a video frame showing the male skater puts her back down on the ice""]",,3,2,0,what_do,,"[""a video frame showing female skater the male skater puts her back down on the ice"", ""a video frame showing female skater""]"
6,6356067859,what does the girl in white do after bending down in the middle,TN,AFTER,AFTER,AFTER,0,clause_extracted,the girl in white bending down,the girl in white,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the girl in white do after bending down in the middle"", ""a video frame showing the girl in white bending down"", ""a video frame showing the girl in white""]","[""what does the girl in white do after bending down in the middle"", ""a video frame showing the girl in white bending down""]",,3,2,1,what_do,,"[""a video frame showing girl in white bending down in the middle"", ""a video frame showing girl in white""]"
5,5735711594,how did the white dog respond to the brown dog when it attacks from its tail,TC,DURING,DURING,DURING,0,clause_extracted,it attacks from its tail,,"[""original"", ""anchor_primary""]","[""how did the white dog respond to the brown dog when it attacks from its tail"", ""a video frame showing it attacks from its tail""]","[""how did the white dog respond to the brown dog when it attacks from its tail"", ""a video frame showing it attacks from its tail""]",,2,2,0,how_head,,"[""a video frame showing the white dog respond to the brown dog when it attacks from its tail""]"
1,9088819598,why does the baby keep the ball near his mouth in the beginning,CW,CAUSE,,CAUSE,0,head_event,the baby keep the ball near his mouth,,"[""original"", ""anchor_primary""]","[""why does the baby keep the ball near his mouth in the beginning"", ""a video frame showing the baby keep the ball near his mouth""]","[""why does the baby keep the ball near his mouth in the beginning"", ""a video frame showing the baby keep the ball near his mouth""]",,2,2,0,why_head,,"[""a video frame showing the baby keep the ball near his mouth in the beginning""]"
