video,qid,type,question,pred_answer_idx,pred_answer_label,gold_answer_idx,gold_answer_label,acc_qa,pred_span_start,pred_span_end,gold_spans,iop,iou,acc_gqa_unverified,used_clip_anchor,raw_answer_nonempty,retrieval_span_ms,caption_answer_ms,query_mode,traversal_mode,relation,relation_source,fallback_reason,num_ppr_calls,context_frame_count
9873067604,4,CW,why did the boy in white sway his head around,0,A,2,C,False,11.522,15.922,"[[25.3, 31.2]]",0.0,0.0,False,True,True,3201.65,170.88,none,none,,,,1,4
7508439506,1,CW,why did the boy put his hands on the baby,3,D,0,A,False,3.739,8.139,"[[0.0, 2.4]]",0.0,0.0,False,True,True,8.31,187.69,none,none,,,,1,4
6136926089,8,TN,what does the baby do after letting go of the cart,1,B,1,B,True,6.542,10.942,"[[9.9, 13.0]]",0.23683,0.16136,False,True,True,6.97,173.63,none,none,,,,1,4
6793786769,5,TC,what is the person in black behind the boy doing as the boy plays with the train,2,C,1,B,False,45.3,48.0,"[[7.7, 22.0], [28.0, 35.4], [43.0, 48]]",1.0,0.54,False,True,True,8.87,176.72,none,none,,,,1,4
3562017845,7,CH,how did the bird in the front get to the other side of the land,1,B,1,B,True,16.519,20.919,"[[7.2, 11.9]]",0.0,0.0,False,True,True,8.32,169.33,none,none,,,,1,4
7499763064,5,CW,why did the man stretch his arm out to touch the rope in the middle,4,E,4,E,True,0.344,4.744,"[[5.2, 6.1]]",0.0,0.0,False,True,True,15.19,200.0,none,none,,,,1,4
6329077812,7,TP,what did the lady do before wipping the baby s mouth,0,A,4,E,False,23.459,27.859,"[[29.2, 43.8]]",0.0,0.0,False,True,True,7.95,259.16,none,none,,,,1,4
4273039295,4,CW,why does the baby bend down near the tree,0,A,0,A,True,56.36,60.76,"[[53.5, 60.9]]",1.0,0.59459,True,True,True,8.24,192.58,none,none,,,,1,4
3066064005,1,CW,why is the woman in purple holding on to a bunch of cutlery,0,A,0,A,True,20.122,24.522,"[[2.2, 11.8]]",0.0,0.0,False,True,True,8.19,210.25,none,none,,,,1,4
3851961428,11,TN,how did the man on the most right reacted after the man in red showed him a hand gesture,4,E,1,B,False,0.0,2.467,"[[38.5, 46.5]]",0.0,0.0,False,True,True,8.54,223.56,none,none,,,,1,4
