qid,video,question,type_code,relation_from_type,relation_from_lexical,relation_final,relation_disagreement,extraction_status,anchor_clause,target_entity,query_roles,query_texts,seed_texts,fallback_reason,n_text_embeddings,n_seed_queries,subject_prepended,head_form,v2_fallback_reason,v2_texts,sample_reason,human_label_anchor_ok,human_label_relation_ok,human_notes
0,3902997424,why is the lady in blue riding the bike with one hand at the start of the video,CW,CAUSE,,CAUSE,0,head_event,the lady in blue riding the bike with one hand at the start of the video,,"[""original"", ""anchor_primary""]","[""why is the lady in blue riding the bike with one hand at the start of the video"", ""a video frame showing the lady in blue riding the bike with one hand at the start of the video""]","[""why is the lady in blue riding the bike with one hand at the start of the video"", ""a video frame showing the lady in blue riding the bike with one hand at the start of the video""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the lady in blue riding the bike with one hand at the start of the video"", ""why is the lady in blue riding the bike with one hand at the start of the video""]",stratified_CW,,,
0,4518113460,why does the man walk around the baby,CW,CAUSE,,CAUSE,0,head_event,the man walk around the baby,,"[""original"", ""anchor_primary""]","[""why does the man walk around the baby"", ""a video frame showing the man walk around the baby""]","[""why does the man walk around the baby"", ""a video frame showing the man walk around the baby""]",,2,2,0,why_head,,"[""a video frame showing the man walk around the baby""]",stratified_CW,,,
1,3376544720,why did the man in stripes hold onto the bull,CW,CAUSE,,CAUSE,0,head_event,the man in stripes hold onto the bull,,"[""original"", ""anchor_primary""]","[""why did the man in stripes hold onto the bull"", ""a video frame showing the man in stripes hold onto the bull""]","[""why did the man in stripes hold onto the bull"", ""a video frame showing the man in stripes hold onto the bull""]",,2,2,0,why_head,,"[""a video frame showing the man in stripes hold onto the bull""]",stratified_CW,,,
6,5138093706,why did the lady in purple bend forward at the end of the video,CW,CAUSE,,CAUSE,0,head_event,the lady in purple bend forward,,"[""original"", ""anchor_primary""]","[""why did the lady in purple bend forward at the end of the video"", ""a video frame showing the lady in purple bend forward""]","[""why did the lady in purple bend forward at the end of the video"", ""a video frame showing the lady in purple bend forward""]",,2,2,0,why_head,,"[""a video frame showing the lady in purple bend forward at the end of the video""]",stratified_CW,,,
3,3711681535,why does the woman swing her legs while swinging on the handle,CW,CAUSE,DURING,CAUSE,1,clause_extracted,the woman swing her legs,,"[""original"", ""anchor_primary""]","[""why does the woman swing her legs while swinging on the handle"", ""a video frame showing the woman swing her legs""]","[""why does the woman swing her legs while swinging on the handle"", ""a video frame showing the woman swing her legs""]",,2,2,0,why_head,,"[""a video frame showing the woman swing her legs while swinging on the handle""]",stratified_CW,,,
0,5205081904,why does the child constantly look down,CW,CAUSE,,CAUSE,0,head_event,the child constantly look down,,"[""original"", ""anchor_primary""]","[""why does the child constantly look down"", ""a video frame showing the child constantly look down""]","[""why does the child constantly look down"", ""a video frame showing the child constantly look down""]",,2,2,0,why_head,,"[""a video frame showing the child constantly look down""]",stratified_CW,,,
2,3846475848,why does the man keep the ferret on the floor,CW,CAUSE,,CAUSE,0,head_event,the man keep the ferret on the floor,,"[""original"", ""anchor_primary""]","[""why does the man keep the ferret on the floor"", ""a video frame showing the man keep the ferret on the floor""]","[""why does the man keep the ferret on the floor"", ""a video frame showing the man keep the ferret on the floor""]",,2,2,0,why_head,,"[""a video frame showing the man keep the ferret on the floor""]",stratified_CW,,,
5,8557532213,why does the boy in yellow lie down on the grass at the end,CW,CAUSE,,CAUSE,0,head_event,the boy in yellow lie down on the grass,,"[""original"", ""anchor_primary""]","[""why does the boy in yellow lie down on the grass at the end"", ""a video frame showing the boy in yellow lie down on the grass""]","[""why does the boy in yellow lie down on the grass at the end"", ""a video frame showing the boy in yellow lie down on the grass""]",,2,2,0,why_head,,"[""a video frame showing the boy in yellow lie down on the grass at the end""]",stratified_CW,,,
2,2697214342,why does the man in white have to hold onto the side of the wood while the man in green bending it,CW,CAUSE,DURING,CAUSE,1,clause_extracted,the man in white have to hold onto the side of the wood,,"[""original"", ""anchor_primary""]","[""why does the man in white have to hold onto the side of the wood while the man in green bending it"", ""a video frame showing the man in white have to hold onto the side of the wood""]","[""why does the man in white have to hold onto the side of the wood while the man in green bending it"", ""a video frame showing the man in white have to hold onto the side of the wood""]",,2,2,0,why_head,,"[""a video frame showing the man in white have to hold onto the side of the wood while the man in green bending it""]",stratified_CW,,,
4,4272084125,why is the lady smiling,CW,CAUSE,,CAUSE,0,head_event,the lady smiling,,"[""original"", ""anchor_primary""]","[""why is the lady smiling"", ""a video frame showing the lady smiling""]","[""why is the lady smiling"", ""a video frame showing the lady smiling""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the lady smiling"", ""why is the lady smiling""]",stratified_CW,,,
0,5467727317,why did the elephant look around at the start,CW,CAUSE,,CAUSE,0,head_event,the elephant look around at the start,,"[""original"", ""anchor_primary""]","[""why did the elephant look around at the start"", ""a video frame showing the elephant look around at the start""]","[""why did the elephant look around at the start"", ""a video frame showing the elephant look around at the start""]",,2,2,0,why_head,,"[""a video frame showing the elephant look around at the start""]",stratified_CW,,,
6,4333544549,why did the man in blue touch his pocket in the middle,CW,CAUSE,,CAUSE,0,head_event,the man in blue touch his pocket,,"[""original"", ""anchor_primary""]","[""why did the man in blue touch his pocket in the middle"", ""a video frame showing the man in blue touch his pocket""]","[""why did the man in blue touch his pocket in the middle"", ""a video frame showing the man in blue touch his pocket""]",,2,2,0,why_head,,"[""a video frame showing the man in blue touch his pocket in the middle""]",stratified_CW,,,
8,5445581571,why did the black spotted dog looked up at the end of the video,CW,CAUSE,,CAUSE,0,head_event,the black spotted dog looked up,,"[""original"", ""anchor_primary""]","[""why did the black spotted dog looked up at the end of the video"", ""a video frame showing the black spotted dog looked up""]","[""why did the black spotted dog looked up at the end of the video"", ""a video frame showing the black spotted dog looked up""]",,2,2,0,why_head,,"[""a video frame showing the black spotted dog looked up at the end of the video""]",stratified_CW,,,
1,2503404966,why is the boy holding on to the handles of the toy,CW,CAUSE,,CAUSE,0,head_event,the boy holding on to the handles of the toy,,"[""original"", ""anchor_primary""]","[""why is the boy holding on to the handles of the toy"", ""a video frame showing the boy holding on to the handles of the toy""]","[""why is the boy holding on to the handles of the toy"", ""a video frame showing the boy holding on to the handles of the toy""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the boy holding on to the handles of the toy"", ""why is the boy holding on to the handles of the toy""]",stratified_CW,,,
9,3345608051,why does one of the men bend down after one of the dog is pinned to the floor in the middle,CW,CAUSE,AFTER,CAUSE,1,clause_extracted,one of the men bend down,,"[""original"", ""anchor_primary""]","[""why does one of the men bend down after one of the dog is pinned to the floor in the middle"", ""a video frame showing one of the men bend down""]","[""why does one of the men bend down after one of the dog is pinned to the floor in the middle"", ""a video frame showing one of the men bend down""]",,2,2,0,why_head,,"[""a video frame showing one of the men bend down after one of the dog is pinned to the floor in the middle""]",stratified_CW,,,
5,8740703217,why there are only four pieces of food left on the table,CW,CAUSE,,CAUSE,0,no_structure,,,"[""original""]","[""why there are only four pieces of food left on the table""]","[""why there are only four pieces of food left on the table""]",no_anchor_event,1,1,0,unmatched,no_clause_pattern_matched,"[""a video frame showing why there are only four pieces of food left on the table"", ""why there are only four pieces of food left on the table""]",stratified_CW,,,
2,2495861393,why is woman displaying different vegetables to the children,CW,CAUSE,,CAUSE,0,head_event,woman displaying different vegetables to the children,,"[""original"", ""anchor_primary""]","[""why is woman displaying different vegetables to the children"", ""a video frame showing woman displaying different vegetables to the children""]","[""why is woman displaying different vegetables to the children"", ""a video frame showing woman displaying different vegetables to the children""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is woman displaying different vegetables to the children"", ""why is woman displaying different vegetables to the children""]",stratified_CW,,,
9,6772999108,why is the girl clapping in the middle,CW,CAUSE,,CAUSE,0,head_event,the girl clapping,,"[""original"", ""anchor_primary""]","[""why is the girl clapping in the middle"", ""a video frame showing the girl clapping""]","[""why is the girl clapping in the middle"", ""a video frame showing the girl clapping""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the girl clapping in the middle"", ""why is the girl clapping in the middle""]",stratified_CW,,,
2,7771650716,why did the man put the dog on the floor after carrying it,CW,CAUSE,AFTER,CAUSE,1,clause_extracted,the man put the dog on the floor,,"[""original"", ""anchor_primary""]","[""why did the man put the dog on the floor after carrying it"", ""a video frame showing the man put the dog on the floor""]","[""why did the man put the dog on the floor after carrying it"", ""a video frame showing the man put the dog on the floor""]",,2,2,0,why_head,,"[""a video frame showing the man put the dog on the floor after carrying it""]",stratified_CW,,,
1,3462517143,why does the brown dog walk into the container after the white dog walks away,CW,CAUSE,AFTER,CAUSE,1,clause_extracted,the brown dog walk into the container,,"[""original"", ""anchor_primary""]","[""why does the brown dog walk into the container after the white dog walks away"", ""a video frame showing the brown dog walk into the container""]","[""why does the brown dog walk into the container after the white dog walks away"", ""a video frame showing the brown dog walk into the container""]",,2,2,0,why_head,,"[""a video frame showing the brown dog walk into the container after the white dog walks away""]",stratified_CW,,,
