arm,video,qid,type_code,question,change,A_first_gold_rank,arm_first_gold_rank,A_iop,arm_iop,parser_status,traversal_active,relation
F,4138579400,6,TN,what did the boy do after touching his spectacles,gained,,0,0.529612,0.529612,clause_extracted,False,AFTER
F,7114553643,1,TN,what did the man in brown vest do after he stood up in the middle of the video,gained,,2,0.0,0.0,clause_extracted,False,AFTER
F,6025238212,1,CW,why did the girl in gold hold onto her party eye masks in the middle of the video,gained,,1,0.16878,0.176364,head_event,False,CAUSE
F,6754608321,4,CW,why did the girl touched the baby s arm at the beginning of the video,lost,3,,0.0,0.0,head_event,False,CAUSE
F,5056964274,7,CW,why did the boy move hands closer to mouth,lost,1,,0.0,0.0,head_event,False,CAUSE
F,3429509208,7,CH,how did the boy move himself nearer to the camera,lost,1,,0.235398,0.235398,head_event,False,MANNER
F,3026084730,6,CW,why did the man in the middle point upwards and moved his hands in the middle of the video,lost,3,,0.0,0.0,head_event,False,CAUSE
F,5945172741,7,CH,how did the man show affection to the girl when he held her,lost,1,,0.0,0.0,clause_extracted,False,MANNER
F,4036955771,7,TN,what did the girl in red and blue do after walking in front of the performers,gained,,2,0.0,0.0,clause_extracted,False,AFTER
F,6168295272,9,CW,why did the lady in blue tapped on the girl in blue,lost,3,,0.154053,0.154053,head_event,False,CAUSE
F,4336654741,2,CW,why does the baby hold the lady s hands in between,lost,2,,0.7975,0.0,head_event,False,CAUSE
F,6642268693,4,CH,how did the dog show that it wants the owner s attention,gained,,2,0.0,0.0,head_event,False,MANNER
F,4761953886,2,CW,why does the girl put her hand on the dog in the middle,lost,2,,0.0,0.0,head_event,False,CAUSE
F,5561024834,2,CW,why does the boy tuck his head down on the bed near the end,gained,,3,0.0,0.702652,head_event,False,CAUSE
F,7416295940,6,TN,what does the adult do after adjusting the position of the toy car,gained,,1,0.0,0.619477,clause_extracted,False,AFTER
F,6078524411,6,CW,why is the baby raising his left arm up and down,gained,,0,0.396553,0.396553,head_event,False,CAUSE
F,3963997053,2,CW,why are there people standing behind the barricade when the car drove past them,gained,,0,0.0,0.632182,clause_extracted,False,CAUSE
F,7308042410,9,CW,why did the man take the girl s hands at the end of the video,gained,,3,0.0,0.0,head_event,False,CAUSE
F,2809330695,8,TN,what happens to the tiger toy after the baby kicks it,gained,,3,0.0,0.0,clause_extracted,False,AFTER
F,6188449000,4,TC,what was the boy doing with the paper,lost,3,,0.0,0.0,head_event,False,DURING
F,6727904179,7,CH,how did the two men indoors made themselves comfortable,gained,,1,0.0,0.0,head_event,False,MANNER
F,6239210933,0,CH,how does the child in blue interact with the pink toy,lost,3,,0.306712,0.306712,head_event,False,MANNER
F,6143391925,0,CW,why did the woman reach out her hands at the beginning of the video,gained,,3,0.0,0.0,head_event,False,CAUSE
F,4612723694,1,CW,why is the man holding a stick on his left hand,gained,,0,0.0,0.0,head_event,False,CAUSE
F,5561024834,8,TN,what does the boy do after getting up from the floor,gained,,1,0.0,0.0,clause_extracted,False,AFTER
F,11871253306,1,CW,why did the men pass a small item to the child in the beginning,gained,,3,0.0,0.0,head_event,False,CAUSE
F,6592821115,1,CW,why did the woman try to remove baby s grip off her finger,lost,0,,0.901515,0.0,head_event,False,CAUSE
F,9088819598,7,CW,why was the baby s chair rocking,gained,,3,0.404875,0.404875,head_event,False,CAUSE
F,4838113006,6,TN,what does the lady do after picking up another bell from table b,lost,2,,0.0,0.0,clause_extracted,False,AFTER
F,4465235803,3,TN,what does the lady do after shaving for a while at the start,lost,3,,0.426439,0.426439,clause_extracted,False,AFTER
F,7059877301,6,CW,why did the white dog approached the light brown dog,lost,0,,0.740492,0.0,head_event,False,CAUSE
F,6037747123,5,CH,how do the two ladies block the sun from shining at their eyes,lost,0,,0.0,0.0,head_event,False,MANNER
F,5549243726,8,CH,how does the girl get the baby s attention at the beginning,lost,2,,0.0,0.0,head_event,False,MANNER
F,4127497265,8,CW,why is the baby looking down in the middle,lost,3,,0.0,0.0,head_event,False,CAUSE
F,4444192938,5,TN,what does the girl in red do after reaching the bottom of the stairs,lost,3,,0.0,0.0,clause_extracted,False,AFTER
F,5561024834,10,CH,how does the boy move on the floor,gained,,1,0.0,0.0,head_event,False,MANNER
F,5133787349,3,CH,how does the man in black to go on stage,lost,3,,0.0,0.0,head_event,False,MANNER
F,6025238212,4,TN,what does the girl in gold do after raising her right arm up at the start,gained,,3,0.16878,0.16878,clause_extracted,False,AFTER
F,3383804222,1,CW,why did the older panda arch its head back when the baby panda stretches her legs repetitively on the older s belly,lost,3,,0.0,0.0,clause_extracted,False,CAUSE
F,4949582792,2,CW,why was the girl stretching her arms out to the pram after she rocked the pram,gained,,3,0.0,0.477273,clause_extracted,False,CAUSE
F,4260763967,6,CH,how did the boy in yellow build his toy,lost,1,,0.0,0.0,head_event,False,MANNER
F,3869005094,4,TC,what did the two outer person do when the two inner person step forward,gained,,3,0.0,0.475659,clause_extracted,False,DURING
F,5854324479,0,CW,why did the man in dark brown move backwards,gained,,3,0.0,0.0,head_event,False,CAUSE
