video,qid,type,question,pred_answer_idx,pred_answer_label,gold_answer_idx,gold_answer_label,acc_qa,pred_span_start,pred_span_end,gold_spans,iop,iou,acc_gqa_unverified,used_clip_anchor,raw_answer_nonempty,retrieval_span_ms,caption_answer_ms,query_mode,traversal_mode,relation,relation_source,fallback_reason,num_ppr_calls,context_frame_count
9873067604,4,CW,why did the boy in white sway his head around,2,C,2,C,True,11.522,15.922,"[[25.3, 31.2]]",0.0,0.0,False,True,True,2819.48,2555.14,none,none,,,,1,4
7508439506,1,CW,why did the boy put his hands on the baby,3,D,0,A,False,3.739,8.139,"[[0.0, 2.4]]",0.0,0.0,False,True,True,8.38,2665.63,none,none,,,,1,4
6136926089,8,TN,what does the baby do after letting go of the cart,1,B,1,B,True,6.542,10.942,"[[9.9, 13.0]]",0.23683,0.16136,False,True,True,6.77,2868.45,none,none,,,,1,4
6793786769,5,TC,what is the person in black behind the boy doing as the boy plays with the train,1,B,1,B,True,45.3,48.0,"[[7.7, 22.0], [28.0, 35.4], [43.0, 48]]",1.0,0.54,True,True,True,7.84,2352.89,none,none,,,,1,4
3562017845,7,CH,how did the bird in the front get to the other side of the land,1,B,1,B,True,16.519,20.919,"[[7.2, 11.9]]",0.0,0.0,False,True,True,7.83,2645.01,none,none,,,,1,4
7499763064,5,CW,why did the man stretch his arm out to touch the rope in the middle,2,C,4,E,False,0.344,4.744,"[[5.2, 6.1]]",0.0,0.0,False,True,True,7.8,2479.97,none,none,,,,1,4
6329077812,7,TP,what did the lady do before wipping the baby s mouth,2,C,4,E,False,23.459,27.859,"[[29.2, 43.8]]",0.0,0.0,False,True,True,7.84,2538.7,none,none,,,,1,4
4273039295,4,CW,why does the baby bend down near the tree,0,A,0,A,True,56.36,60.76,"[[53.5, 60.9]]",1.0,0.59459,True,True,True,7.66,2620.97,none,none,,,,1,4
3066064005,1,CW,why is the woman in purple holding on to a bunch of cutlery,0,A,0,A,True,20.122,24.522,"[[2.2, 11.8]]",0.0,0.0,False,True,True,7.71,3425.5,none,none,,,,1,4
3851961428,11,TN,how did the man on the most right reacted after the man in red showed him a hand gesture,4,E,1,B,False,0.0,2.467,"[[38.5, 46.5]]",0.0,0.0,False,True,True,7.9,2842.24,none,none,,,,1,4
4822859674,2,CW,why does the baby start climbing on the floor after walking for a while at the start of the video,2,C,3,D,False,12.523,16.923,"[[1.3, 7.8]]",0.0,0.0,False,True,True,6.45,2451.93,none,none,,,,1,4
4279106208,10,CW,why did the lady hold onto the child when going down the slide together,1,B,1,B,True,0.0,4.36,"[[0.0, 13.8]]",1.0,0.31594,True,True,True,7.19,2516.06,none,none,,,,1,4
2821968703,5,CW,why is the man leaning towards the back,4,E,4,E,True,25.895,30.0,"[[14.3, 21.0]]",0.0,0.0,False,True,True,7.59,2198.59,none,none,,,,1,4
4273039295,8,TN,what does the woman in green beanie do after the child runs away for a while,0,A,1,B,False,68.48,72.88,"[[54.5, 59.5]]",0.0,0.0,False,True,True,7.75,2403.33,none,none,,,,1,4
4273039295,7,TC,what does the woman in green beanie do as the child in runs pass him,0,A,3,D,False,68.48,72.88,"[[40.9, 47.6]]",0.0,0.0,False,True,True,7.64,2820.99,none,none,,,,1,4
10597533885,4,TN,what does the baby do after touching the toy house in the middle,2,C,1,B,False,45.915,50.315,"[[30.5, 38.0]]",0.0,0.0,False,True,True,7.89,2611.98,none,none,,,,1,4
14012319794,8,CW,why did the girl take the piece of card at the start of the video,3,D,0,A,False,0.0,3.783,"[[0.1, 6.5]]",0.97357,0.56667,False,True,True,8.47,4444.79,none,none,,,,1,4
3249402410,9,TN,what did the lady in pink do after the lady in red passed her the pan,4,E,2,C,False,0.202,4.602,"[[17.1, 21.3]]",0.0,0.0,False,True,True,7.74,3169.86,none,none,,,,1,4
3784543730,1,CW,why is the black shirt man moving his legs up and down on the bicycle,1,B,1,B,True,14.583,18.983,"[[10.4, 28]]",1.0,0.25,True,True,True,7.85,2565.69,none,none,,,,1,4
5658916668,6,TN,what did the man do after falling,3,D,3,D,True,10.446,14.846,"[[14.8, 18.3]]",0.01045,0.00585,False,True,True,7.81,2908.59,none,none,,,,1,4
4087654898,0,CH,how did the children fill up the bucket,3,D,0,A,False,7.81,11.0,"[[0.0, 3.1], [5.6, 8.0]]",0.05956,0.03519,False,True,True,7.0,2520.09,none,none,,,,1,4
3471421544,4,CH,how does the baby move the chair,1,B,0,A,False,29.832,34.232,"[[12.5, 48.7]]",1.0,0.12155,False,True,True,7.86,2869.96,none,none,,,,1,4
4013751996,7,CW,why does the girl face downwards while talking,1,B,3,D,False,9.395,13.795,"[[7.5, 11.1]]",0.38752,0.27087,False,True,True,7.74,2402.81,none,none,,,,1,4
6617533993,7,TC,how does the boy feel while playing,4,E,4,E,True,18.842,23.242,"[[46.1, 48.9]]",0.0,0.0,False,True,True,8.16,2779.83,none,none,,,,1,4
7499763064,3,TC,what does the man above hold onto while climbing up,0,A,0,A,True,8.185,12.585,"[[5.4, 19.3], [19.6, 25]]",1.0,0.31655,True,True,True,16.88,2422.64,none,none,,,,1,4
4087654898,7,TN,what does the girl do after filling the bucket,2,C,4,E,False,7.677,11.0,"[[7.2, 10.8]]",0.93982,0.82196,False,True,True,7.46,2550.21,none,none,,,,1,4
3851961428,4,CW,why does the boy wearing blue struggle after taking off his goggles,3,D,4,E,False,2.605,7.005,"[[2.7, 8.9]]",0.97836,0.68382,False,True,True,17.84,2494.01,none,none,,,,1,4
8563398032,5,TN,why did the man with plain black shirt stop moving his hands for a while in the middle,0,A,4,E,False,57.36,61.76,"[[31.4, 38.6]]",0.0,0.0,False,True,True,7.69,2975.13,none,none,,,,1,4
4483447009,3,TN,what does the duck do after pecking for a while at the start,0,A,2,C,False,0.0,3.201,"[[2.8, 9.4]]",0.12527,0.04266,False,True,True,7.61,2663.09,none,none,,,,1,4
9409566840,2,CH,how does the brown dog keep the white dog down,1,B,1,B,True,0.0,2.634,"[[1.0, 5.7], [12.5, 15.7], [29.9, 32.5]]",0.62032,0.28663,True,True,True,7.58,3073.13,none,none,,,,1,4
14012319794,4,CW,why did the girl pull the tent down towards her in the middle of the video,3,D,1,B,False,51.217,55.617,"[[54.0, 65.6]]",0.36742,0.1124,False,True,True,7.75,3205.89,none,none,,,,1,4
4626535366,4,CW,why does the kid stands near the poster,3,D,3,D,True,11.714,16.114,"[[11.5, 45.8]]",1.0,0.12828,True,True,True,8.1,2836.64,none,none,,,,1,4
11584566583,3,CH,how did the woman in green adjusts her glasses at the middle,0,A,0,A,True,5.708,10.108,"[[6.7, 7.8]]",0.25,0.25,False,True,True,7.68,2734.1,none,none,,,,1,4
8563398032,0,CW,why did the man with plain black shirt raise his hands after the man beside him touch his nose,4,E,4,E,True,57.36,61.76,"[[0.6, 6.8]]",0.0,0.0,False,True,True,7.66,3105.57,none,none,,,,1,4
11565498775,2,CW,why does the boy look up at the man in the middle of the video,1,B,1,B,True,36.405,40.805,"[[10.4, 18.1]]",0.0,0.0,False,True,True,6.46,2379.65,none,none,,,,1,4
